"altura_interna_wr28 [mm]","cavidade_area_plana [mm2]","cavidade_comprimento_interno_exploratorio [mm]","cavidade_largura_interna_exploratoria [mm]","chanfro [mm]","comprimento_total_eixo_y [mm]","corpo_altura_externa [mm]","corpo_comprimento_externo [mm]","corpo_largura_externa_exploratoria [mm]","degrau_altura [mm]","degrau_largura [mm]","espessura_fundo_exploratoria [mm]","espessura_parede_lateral [mm]","espessura_tampa [mm]","flange_comprimento_exploratorio [mm]","flange_largura [mm]","fr4_dimensao_x [mm]","fr4_dimensao_y [mm]","fr4_epsilon_r_exploratorio []","fr4_tan_delta_exploratorio []","frequencia_adaptativa [GHz]","frequencia_sweep_fim [GHz]","frequencia_sweep_inicio [GHz]","largura_interna_wr28 [mm]","parafuso_diametro_exploratorio [mm]","pino_diametro [mm]","pino_offset_x_exploratorio [mm]","pino_offset_y_exploratorio [mm]","plano_porta_y [mm]","q4_branch_length [mm]","q4_external_port_y [mm]","q4_frequency [GHz]","q4_input_length [mm]","q4_interpair_spacing [mm]","q4_junction_length [mm]","q4_lambda_g [mm]","q4_pair_spacing [mm]","q4_wg_a_z [mm]","q4_wg_b_x [mm]","ranhura_comprimento [mm]","ranhura_largura [mm]","ranhura_passo_exploratorio [mm]","Freq [GHz]","dB(S(P1_WG_A,P1_WG_A)) []","dB(S(P1_WG_A,P2_WG_B)) []","dB(S(P2_WG_B,P1_WG_A)) []","dB(S(P2_WG_B,P2_WG_B)) []"
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,26.7,-4.51479737112684,-56.997037942553,-56.9970379425531,-4.47979504241316
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,26.725,-5.79907129060956,-54.7445785445166,-54.7445785445166,-5.78909382421827
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,26.75,-3.38670211309962,-56.3160232697164,-56.3160232697164,-3.40305295995982
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,26.775,-2.00675411621286,-58.9563488808401,-58.9563488808401,-2.01864032421907
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,26.8,-1.36203325864024,-61.1426534329005,-61.1426534329004,-1.36985456859588
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,26.825,-1.02824825599991,-62.5520898314706,-62.5520898314706,-1.03368300905504
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,26.85,-0.83820367449285,-63.4062319885441,-63.4062319885441,-0.842208137792376
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,26.875,-0.723144513998454,-63.9111882414717,-63.9111882414718,-0.726234747921849
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,26.9,-0.65163170851034,-64.1637921268444,-64.1637921268445,-0.654098279372102
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,26.925,-0.607931640423852,-64.2015138339666,-64.2015138339668,-0.609946072585805
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,26.95,-0.583659501266426,-64.0433847391231,-64.0433847391233,-0.585326360170383
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,26.975,-0.574220021042989,-63.7065878008023,-63.7065878008024,-0.575603339921227
7.11,108,18,6,3,27,11.11,36,9,1,9,3,1,1,4,22.5,3,1.65,4.4,0.02,25.87,27,25,3.56,2,1,2,1.325,-18,19.9956242277669,-62.9901545124755,25.87,19.9956242277669,96,4.99890605694172,19.9956242277669,42,7.11,3.56,5.66,0.8,4,27,-0.577167347023701,-63.2099263527699,-63.2099263527699,-0.578304443103798
